CRN,Code,Title,Department,Credits,Description,Level,Prerequisites,Corequisites,Topics,Required for Majors,Learning Outcomes,Average GPA,Typical Semesters Offered,Difficulty Rating,Workload Hours/Week,Typical Class Size,Online Offering Available
69254,MATH656,"""Advanced Topics in Algebraic Geometry""",MATH,4.0,"This course delves into advanced topics in algebraic geometry, covering concepts such as schemes, cohomology, and intersection theory. Students will explore modern developments in the field and engage with challenging problems to deepen their understanding of algebraic structures and geometric properties.",600,MATH159|MATH154,,"1. Algebra 
2. Calculus 
3. Geometry 
4. Probability and Statistics 
5. Number Theory",HIST Major,"1. Solve algebraic equations and inequalities using appropriate techniques and strategies|
2. Apply principles of calculus to analyze and solve mathematical problems in various contexts|
3. Demonstrate an understanding of geometric concepts and their applications in real-world situations|
4. Analyze and interpret data using probability and statistical methods|
5. Explore and apply number theory concepts to solve mathematical problems efficiently.",2.863217500832427,Summer|Spring|Fall,4.12909614744286,12.020213472438389,52,False
36511,HIST111,"""The Ancient World: Foundations of Civilization""",HIST,3.0,"This course explores the foundations of ancient civilizations, focusing on key developments in Mesopotamia, Egypt, Greece, and Rome. Students will examine the political, social, economic, and cultural aspects of these societies, gaining a deeper understanding of the origins of modern civilization.",100,,"1. Ancient Civilizations
2. Medieval Europe
3. Colonial America
4. World Wars and 20th Century History
5. Globalization and Modern World History",HIST Major,"1. Analyze the political structures, social hierarchies, and cultural achievements of ancient civilizations|
2. Evaluate the impact of religious, economic, and intellectual developments on medieval Europe|
3. Compare and contrast the economic systems, political ideologies, and social structures of colonial America|
4. Examine the causes, consequences, and legacies of the World Wars and major events in 20th-century history|
5. Critically assess the drivers, challenges, and implications of globalization on modern world history.",3.2679304609989024,Summer|Spring|Fall,1.0159195307776736,13.666390402678905,102,False
37885,PHYS675,"""Advanced Quantum Mechanics and Field Theory""",PHYS,4.0,"This course delves into the advanced topics of quantum mechanics and field theory, exploring the mathematical formalism and concepts underlying these fundamental theories of physics. Students will study topics such as relativistic quantum mechanics, quantum field theory, and applications to particle physics and cosmology. Prerequisite: Quantum Mechanics and Mathematical Methods in Physics.",600,PHYS181|PHYS100,,"1. Classical Mechanics
2. Electromagnetism
3. Thermodynamics and Statistical Mechanics
4. Quantum Mechanics
5. Optics and Waves",,"1. Analyze and solve complex problems in classical mechanics by applying fundamental principles of motion, forces, and energy conservation|
2. Evaluate and predict electromagnetic phenomena by utilizing Maxwell's equations and understanding the concepts of electric and magnetic fields|
3. Apply the laws of thermodynamics and statistical mechanics to analyze and interpret the behavior of macroscopic systems and understand concepts such as entropy and probability distributions|
4. Analyze and solve quantum mechanical problems by applying the principles of wave-particle duality, quantization of energy, and probabilistic nature of quantum systems|
5. Demonstrate proficiency in understanding and analyzing optical phenomena and wave behavior, including diffraction, interference, polarization, and the properties of light.",3.2535042777235854,Summer|Spring|Fall,1.1268901713570436,13.221893831503504,170,False
45446,MATH322,"""Advanced Topics in Algebraic Structures""",MATH,3.0,"This course delves into advanced topics in algebraic structures, exploring concepts such as rings, fields, and modules in depth. Students will study properties and relationships within these structures, as well as applications in various mathematical disciplines.",300,MATH156|MATH204,,"1. Algebra
2. Calculus
3. Geometry
4. Statistics
5. Number theory",ECON Major,"1. Apply algebraic concepts to solve complex mathematical problems involving equations, inequalities, and functions|
2. Analyze and evaluate calculus techniques to model and solve real-world problems involving rates of change and accumulation|
3. Demonstrate geometric reasoning skills to analyze shapes, angles, and spatial relationships|
4. Interpret and apply statistical methods to analyze data and make informed decisions|
5. Explore and apply principles of number theory to analyze properties of integers and prime numbers.",3.0602077683719004,Summer|Spring|Fall,2.6137863971392266,9.005099912562919,153,True
68325,CS537,"Title: ""Advanced Topics in Machine Learning and Artificial Intelligence""",CS,4.0,"This course delves into advanced concepts and techniques in machine learning and artificial intelligence, with a focus on cutting-edge research and applications. Students will explore topics such as deep learning, reinforcement learning, and natural language processing through hands-on projects and case studies.",500,CS111|CS422,,"1. Programming and problem-solving
2. Data structures and algorithms
3. Computer architecture and organization
4. Database systems
5. Software engineering and development",PHYS Major|CS Major,"1. Apply programming concepts and problem-solving strategies to develop efficient solutions to a variety of computational challenges|
2. Analyze, design, and implement data structures and algorithms to solve complex problems efficiently and effectively|
3. Explain the principles of computer architecture and organization, and apply them to optimize software performance and resource utilization|
4. Design and implement database systems to store, retrieve, and manipulate data securely and efficiently|
5. Collaborate in a software engineering team to develop, test, and deploy high-quality software solutions that meet specified requirements and adhere to best practices.",3.267514682557845,Summer|Spring|Fall,1.0191178264781096,10.580888599317891,130,True
80475,ECON340,"""Global Economic Development and Policy Analysis""",ECON,4.0,"This course provides an in-depth examination of global economic development theories and policies. Students will analyze the impact of various economic policies on development outcomes in different regions, and learn how to apply economic analysis to assess and design effective development strategies.",300,ECON147,MATH322,"1. Microeconomics
2. Macroeconomics
3. Econometrics
4. International Economics
5. Public Finance",,"1. Apply economic principles to analyze individual consumer behavior and firm decision-making in various market structures|
2. Evaluate the impact of government policies and external factors on national economies, including economic growth, unemployment, and inflation|
3. Utilize statistical methods and economic models to analyze and interpret economic data for making informed decisions|
4. Examine the effects of globalization on trade, exchange rates, and international economic relations|
5. Analyze government revenue and expenditure policies, taxation systems, and public goods provision in the context of economic efficiency and equity.",3.0253652602536323,Summer|Spring|Fall,2.8818056903566753,7.92237331469021,193,True
83792,CHEM311,"""Advanced Organic Chemistry: Synthesis and Mechanisms""",CHEM,4.0,"This advanced organic chemistry course delves into the principles of organic synthesis and reaction mechanisms. Students will explore modern techniques and strategies for designing and executing complex organic reactions, with an emphasis on understanding the underlying mechanisms. Prerequisites include a strong foundation in organic chemistry.",300,CHEM274|CHEM113,,"1. Chemical reactions
2. Atomic structure and periodic trends
3. Stoichiometry and balancing equations
4. Thermodynamics and kinetics
5. Organic chemistry and functional groups",MATH Major|PHYS Major,"1. Analyze chemical reactions to predict products and determine reaction mechanisms|
2. Explain atomic structure and periodic trends to predict chemical behavior and properties|
3. Apply stoichiometry principles to balance chemical equations and solve quantitative problems|
4. Evaluate thermodynamic and kinetic factors to predict the feasibility and rate of chemical reactions|
5. Identify and classify organic compounds based on functional groups and predict reactivity patterns.",2.9062577442502655,Summer|Spring|Fall,3.798017351921032,6.9454165914656,135,False
26840,PHYS679,"""Advanced Quantum Mechanics and Applications""",PHYS,3.0,"This course delves into advanced topics in quantum mechanics, including angular momentum, scattering theory, and perturbation theory. Students will explore cutting-edge applications of quantum mechanics in areas such as quantum computation, quantum optics, and condensed matter physics.",600,PHYS100|PHYS207,MATH607,"1. Mechanics
2. Electricity and Magnetism
3. Thermodynamics
4. Optics
5. Quantum Mechanics",CHEM Major|ENG Major,"1. Apply the principles of mechanics to solve complex problems involving motion, forces, and energy|
2. Analyze and explain the behavior of electricity and magnetism in various systems and circuits|
3. Evaluate and interpret the laws of thermodynamics to analyze heat transfer and energy conversion processes|
4. Demonstrate an understanding of optical phenomena and their applications in different technologies|
5. Analyze and solve quantum mechanical problems using appropriate mathematical techniques and conceptual frameworks.",3.0829542462961608,Summer|Spring|Fall,2.4388134900295286,14.143099016764037,141,False
58662,ENG270,"Title: ""Exploring World Literature: Themes and Perspectives""",ENG,4.0,"In this course, students will delve into a diverse selection of world literature, exploring a range of themes and perspectives. Through critical analysis and discussion, students will gain a deeper understanding of different cultures and societies as portrayed in literary works from around the globe. This course will challenge students to think critically about the universal themes that connect humanity across borders and time periods.",200,,,"1. Creative Writing
2. Literary Analysis
3. Composition and Rhetoric
4. Shakespearean Studies
5. World Literature",HIST Major,"1. Demonstrate the ability to craft original and engaging creative writing pieces across various genres and styles|
2. Analyze and interpret literary texts with a critical and informed perspective, examining themes, characters, and literary devices in depth|
3. Develop effective written communication skills by composing well-structured essays and arguments that utilize rhetorical strategies and support claims with evidence|
4. Evaluate and appreciate the works of William Shakespeare in their historical and cultural contexts, exploring the complexities of his plays and poetry|
5. Compare and contrast works of world literature from diverse cultures and time periods, recognizing common themes and understanding unique cultural perspectives.",2.7608248021888246,Summer|Spring|Fall,4.916732290855192,10.837850060085918,71,True
65206,CS111,"""Introduction to Computer Science Fundamentals""",CS,4.0,"This course provides a comprehensive introduction to the fundamental concepts of computer science, including algorithms, data structures, programming languages, and software development. Students will gain hands-on experience with problem-solving and coding in a practical and interactive learning environment.",100,,MATH159,"1. Algorithms and Data Structures
2. Programming Languages and Paradigms
3. Software Engineering and Development
4. Computer Systems and Architecture
5. Artificial Intelligence and Machine Learning",HIST Major|ECON Major|ENG Major,"- Analyze and implement advanced algorithms and data structures to solve complex computational problems|
- Evaluate and compare different programming languages and paradigms to effectively design and develop software applications|
- Apply software engineering principles and best practices to plan, build, and maintain large-scale software systems|
- Explain the fundamental concepts of computer systems and architecture to optimize software performance and efficiency|
- Design and develop artificial intelligence and machine learning algorithms to solve real-world problems.",2.964949564801048,Summer|Spring|Fall,3.3465418092227006,14.92811795935212,59,True
